2023-01-01	646	700
2023-01-08	779	777
2023-01-15	875	843
2023-01-22	942	997
2023-01-29	1085	1064
2023-02-05	1155	1184
2023-02-12	1211	1278
2023-02-19	1329	1305
2023-02-26	1308	1338
2023-03-05	1377	1451
2023-03-12	1440	1496
2023-03-19	1559	1509
2023-03-26	1525	1588
2023-04-02	1487	1548
2023-04-09	1540	1510
2023-04-16	1387	1508
2023-04-23	1310	1274
2023-04-30	1241	1205
2023-05-07	1148	1167
2023-05-14	970	967
2023-05-21	890	828
2023-05-28	696	725
2023-06-04	630	571
2023-06-11	477	478
2023-06-18	430	372
2023-06-25	320	331
2023-07-02	259	267
2023-07-09	217	223
2023-07-16	196	191
2023-07-23	164	147
2023-07-30	144	127
2023-08-06	109	110
2023-08-13	92	101
2023-08-20	78	90
2023-08-27	62	73
2023-09-03	62	60
2023-09-10	46	58
2023-09-17	51	56
2023-09-24	53	55
2023-10-01	55	57
2023-10-08	47	51
2023-10-15	72	72
2023-10-22	74	65
2023-10-29	71	75
2023-11-05	79	83
2023-11-12	105	94
2023-11-19	125	102
2023-11-26	140	137
2023-12-03	156	146
2023-12-10	169	174
2023-12-17	179	192
2023-12-24	238	232
2023-12-31	414	415
2024-01-07	590	557
2024-01-14	684	639
2024-01-21	795	777
2024-01-28	895	880
2024-02-04	1001	981
2024-02-11	1072	1009
2024-02-18	1091	1121
2024-02-25	1137	1052
2024-03-03	1089	1043
2024-03-10	1135	1097
2024-03-17	1053	1002
2024-03-24	943	972
2024-03-31	899	916
2024-04-07	774	851
2024-04-14	747	747
2024-04-21	611	676
2024-04-28	578	603
2024-05-05	505	492
2024-05-12	398	443
2024-05-19	357	379
2024-05-26	313	328
2024-06-02	280	277
2024-06-09	248	236
2024-06-16	211	227
2024-06-23	196	183
2024-06-30	179	167
2024-07-07	147	153
2024-07-14	140	126
2024-07-21	108	110
2024-07-28	101	111
2024-08-04	95	91
2024-08-11	96	76
2024-08-18	58	65
2024-08-25	58	59
2024-09-01	48	56
2024-09-08	47	57
2024-09-15	59	50
2024-09-22	53	48
2024-09-29	44	55
2024-10-06	64	53
2024-10-13	81	65
2024-10-20	55	66
2024-10-27	70	81
2024-11-03	87	95
2024-11-10	99	106
2024-11-17	122	124
2024-11-24	152	148
2024-12-01	178	153
2024-12-08	172	176
2024-12-15	193	207
2024-12-22	245	254
